UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,857,10.6,7.9,1
62f3575ab51f8a773cde8ed1,3347,91.3,98.3,1
62f3575ab51f8a773cde8ed1,270,7.2,1.0,1
62f3575ab51f8a773cde8ed1,3631,86.4,95.5,1
62f3575ab51f8a773cde8ed1,890,8.6,8.1,1
62f3575ab51f8a773cde8ed1,3518,75.6,89.6,1
62f3575ab51f8a773cde8ed1,1792,29.8,41.9,1
62f3575ab51f8a773cde8ed1,3246,86.3,97.9,1
62f3575ab51f8a773cde8ed1,1310,41.2,25.7,1
62f3575ab51f8a773cde8ed1,3217,77.8,90.7,1
62f3575ab51f8a773cde8ed1,3477,94.2,76.6,1
62f3575ab51f8a773cde8ed1,3267,78.9,79.7,1
62f3575ab51f8a773cde8ed1,414,0.9,4.7,1
62f3575ab51f8a773cde8ed1,2320,57.8,73.6,1
62f3575ab51f8a773cde8ed1,291,18.6,17.1,1
62f3575ab51f8a773cde8ed1,151,16.6,7.6,1
62f3575ab51f8a773cde8ed1,2814,63.7,65.9,1
62f3575ab51f8a773cde8ed1,1134,40.7,29.9,1
62f3575ab51f8a773cde8ed1,2285,72.5,58.1,1
62f3575ab51f8a773cde8ed1,293,0.5,13.6,1
62f3575ab51f8a773cde8ed1,3432,83.3,99.7,1
62f3575ab51f8a773cde8ed1,2616,71.0,54.8,1
62f3575ab51f8a773cde8ed1,2176,72.4,74.2,1
62f3575ab51f8a773cde8ed1,2298,69.8,60.1,1
62f3575ab51f8a773cde8ed1,926,18.5,15.9,1
62f3575ab51f8a773cde8ed1,524,22.9,19.2,1
62f3575ab51f8a773cde8ed1,2270,65.8,52.5,1
62f3575ab51f8a773cde8ed1,766,15.4,1.5,1
62f3575ab51f8a773cde8ed1,38,10.6,23.8,1
62f3575ab51f8a773cde8ed1,1542,47.3,46.7,1
62f3575ab51f8a773cde8ed1,3440,78.1,84.5,1
62f3575ab51f8a773cde8ed1,2862,65.1,69.6,1
62f3575ab51f8a773cde8ed1,3084,84.1,88.1,1
62f3575ab51f8a773cde8ed1,619,22.6,4.4,1
62f3575ab51f8a773cde8ed1,2586,72.1,66.7,1
62f3575ab51f8a773cde8ed1,3394,76.7,98.9,1
62f3575ab51f8a773cde8ed1,3322,83.7,81.7,1
62f3575ab51f8a773cde8ed1,1609,36.6,42.6,1
62f3575ab51f8a773cde8ed1,474,18.7,13.7,1
62f3575ab51f8a773cde8ed1,1804,25.8,38.6,1
62f3575ab51f8a773cde8ed1,2619,56.7,61.4,1
62f3575ab51f8a773cde8ed1,2186,51.3,58.7,1
62f3575ab51f8a773cde8ed1,2892,68.2,71.6,1
62f3575ab51f8a773cde8ed1,1536,30.7,40.7,1
