UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,22,22.6,6.0,0,
62f3575ab51f8a773cde8ed1,34,1.5,16.7,1,
62f3575ab51f8a773cde8ed1,133,51.3,70.6,0,
62f3575ab51f8a773cde8ed1,63,27.0,37.0,0,
62f3575ab51f8a773cde8ed1,173,89.6,83.2,0,
62f3575ab51f8a773cde8ed1,39,6.6,9.3,0,
62f3575ab51f8a773cde8ed1,87,40.2,32.9,1,
62f3575ab51f8a773cde8ed1,180,81.3,82.6,0,
62f3575ab51f8a773cde8ed1,184,80.2,79.3,0,
62f3575ab51f8a773cde8ed1,116,64.7,73.6,1,
62f3575ab51f8a773cde8ed1,112,61.3,64.5,1,
62f3575ab51f8a773cde8ed1,108,56.4,53.4,1,
62f3575ab51f8a773cde8ed1,80,43.3,44.1,1,
62f3575ab51f8a773cde8ed1,141,72.7,59.0,0,
62f3575ab51f8a773cde8ed1,196,91.5,84.5,0,
62f3575ab51f8a773cde8ed1,63,28.6,41.0,1,
62f3575ab51f8a773cde8ed1,160,96.1,84.0,1,
62f3575ab51f8a773cde8ed1,180,77.0,97.1,0,
62f3575ab51f8a773cde8ed1,36,12.2,18.0,0,
62f3575ab51f8a773cde8ed1,14,15.4,6.3,1,
62f3575ab51f8a773cde8ed1,186,94.3,94.4,1,
62f3575ab51f8a773cde8ed1,171,88.7,97.9,0,
62f3575ab51f8a773cde8ed1,106,54.8,58.4,0,
62f3575ab51f8a773cde8ed1,185,85.1,78.0,1,
62f3575ab51f8a773cde8ed1,23,21.9,4.2,1,
62f3575ab51f8a773cde8ed1,131,57.5,56.7,0,
62f3575ab51f8a773cde8ed1,158,77.9,99.7,1,
62f3575ab51f8a773cde8ed1,111,70.1,71.5,1,
62f3575ab51f8a773cde8ed1,193,75.0,76.9,0,
62f3575ab51f8a773cde8ed1,22,4.4,0.9,0,
62f3575ab51f8a773cde8ed1,47,9.7,9.0,1,
62f3575ab51f8a773cde8ed1,50,12.6,14.6,1,
62f3575ab51f8a773cde8ed1,29,10.5,17.7,0,
62f3575ab51f8a773cde8ed1,139,65.1,51.4,0,
62f3575ab51f8a773cde8ed1,101,66.6,74.1,0,
62f3575ab51f8a773cde8ed1,47,0.9,9.2,0,
62f3575ab51f8a773cde8ed1,187,89.2,97.2,0,
62f3575ab51f8a773cde8ed1,70,43.6,34.9,1,
62f3575ab51f8a773cde8ed1,43,0.3,1.0,0,
62f3575ab51f8a773cde8ed1,192,81.9,87.9,1,
62f3575ab51f8a773cde8ed1,64,43.0,48.4,0,
62f3575ab51f8a773cde8ed1,131,59.6,53.5,1,
62f3575ab51f8a773cde8ed1,132,68.4,52.4,1,
62f3575ab51f8a773cde8ed1,80,31.1,34.7,1,
62f3575ab51f8a773cde8ed1,132,58.0,60.3,0,
62f3575ab51f8a773cde8ed1,100,27.8,37.5,1,
62f3575ab51f8a773cde8ed1,75,46.4,30.4,1,
62f3575ab51f8a773cde8ed1,36,22.0,7.2,0,
62f3575ab51f8a773cde8ed1,108,65.6,56.5,1,
62f3575ab51f8a773cde8ed1,156,91.2,89.1,1,
62f3575ab51f8a773cde8ed1,123,59.8,70.7,0,
62f3575ab51f8a773cde8ed1,159,97.6,98.2,0,
62f3575ab51f8a773cde8ed1,73,43.3,42.3,1,
62f3575ab51f8a773cde8ed1,150,69.3,72.9,0,
62f3575ab51f8a773cde8ed1,74,33.4,28.4,1,
62f3575ab51f8a773cde8ed1,180,92.8,99.6,0,
62f3575ab51f8a773cde8ed1,61,40.8,26.3,0,
62f3575ab51f8a773cde8ed1,87,34.9,38.0,0,
62f3575ab51f8a773cde8ed1,94,48.2,38.3,0,
62f3575ab51f8a773cde8ed1,105,63.6,64.3,0,
62f3575ab51f8a773cde8ed1,168,98.3,96.1,1,
62f3575ab51f8a773cde8ed1,95,42.6,41.1,1,
62f3575ab51f8a773cde8ed1,14,22.5,23.6,0,
62f3575ab51f8a773cde8ed1,26,24.5,7.1,1,
62f3575ab51f8a773cde8ed1,14,0.1,22.0,1,
62f3575ab51f8a773cde8ed1,26,24.2,5.3,1,
62f3575ab51f8a773cde8ed1,200,85.5,84.9,1,
62f3575ab51f8a773cde8ed1,185,84.3,87.2,0,
62f3575ab51f8a773cde8ed1,187,89.8,78.8,1,
62f3575ab51f8a773cde8ed1,49,8.2,14.0,0,
62f3575ab51f8a773cde8ed1,146,56.4,73.2,0,
62f3575ab51f8a773cde8ed1,36,12.9,14.1,0,
62f3575ab51f8a773cde8ed1,153,82.6,77.7,1,
62f3575ab51f8a773cde8ed1,176,89.7,80.3,1,
62f3575ab51f8a773cde8ed1,83,45.0,26.7,0,
62f3575ab51f8a773cde8ed1,170,76.6,76.8,1,
62f3575ab51f8a773cde8ed1,194,80.8,81.7,0,
62f3575ab51f8a773cde8ed1,179,93.8,82.6,0,
62f3575ab51f8a773cde8ed1,21,1.8,23.7,1,
62f3575ab51f8a773cde8ed1,11,11.0,1.9,1,
62f3575ab51f8a773cde8ed1,123,63.3,70.4,0,
