UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,147,48.6,45.5,1
62f3575ab51f8a773cde8ed1,106,40.7,39.5,1
62f3575ab51f8a773cde8ed1,156,68.4,60.2,1
62f3575ab51f8a773cde8ed1,60,4.0,15.7,1
62f3575ab51f8a773cde8ed1,144,41.7,39.8,1
62f3575ab51f8a773cde8ed1,62,18.6,16.9,1
62f3575ab51f8a773cde8ed1,177,50.3,66.9,1
62f3575ab51f8a773cde8ed1,68,24.8,6.2,1
62f3575ab51f8a773cde8ed1,195,73.0,51.2,1
62f3575ab51f8a773cde8ed1,108,28.3,26.9,1
62f3575ab51f8a773cde8ed1,110,30.0,35.6,1
62f3575ab51f8a773cde8ed1,64,2.8,5.5,1
62f3575ab51f8a773cde8ed1,68,10.9,7.3,1
62f3575ab51f8a773cde8ed1,87,19.9,3.0,1
62f3575ab51f8a773cde8ed1,151,70.3,72.0,1
62f3575ab51f8a773cde8ed1,123,40.5,30.5,1
62f3575ab51f8a773cde8ed1,102,31.0,27.6,1
62f3575ab51f8a773cde8ed1,161,72.1,65.1,1
62f3575ab51f8a773cde8ed1,85,22.4,18.1,1
62f3575ab51f8a773cde8ed1,169,71.7,63.7,1
62f3575ab51f8a773cde8ed1,106,33.3,27.7,1
62f3575ab51f8a773cde8ed1,81,1.0,22.9,1
62f3575ab51f8a773cde8ed1,69,19.6,16.1,1
62f3575ab51f8a773cde8ed1,153,54.7,65.5,1
62f3575ab51f8a773cde8ed1,133,31.3,42.7,1
62f3575ab51f8a773cde8ed1,157,54.6,57.4,1
62f3575ab51f8a773cde8ed1,66,24.1,6.1,1
62f3575ab51f8a773cde8ed1,68,10.2,18.4,1
62f3575ab51f8a773cde8ed1,161,54.0,69.1,1
62f3575ab51f8a773cde8ed1,52,12.4,19.2,1
62f3575ab51f8a773cde8ed1,106,40.8,34.5,1
62f3575ab51f8a773cde8ed1,171,68.2,69.6,1
62f3575ab51f8a773cde8ed1,169,61.2,64.6,1
62f3575ab51f8a773cde8ed1,143,35.5,46.9,1
62f3575ab51f8a773cde8ed1,94,25.0,16.6,1
62f3575ab51f8a773cde8ed1,191,53.1,53.0,1
62f3575ab51f8a773cde8ed1,184,63.2,67.9,1
62f3575ab51f8a773cde8ed1,67,17.9,14.3,1
62f3575ab51f8a773cde8ed1,112,46.9,27.6,1
62f3575ab51f8a773cde8ed1,191,53.4,61.5,1
62f3575ab51f8a773cde8ed1,104,26.2,37.9,1
62f3575ab51f8a773cde8ed1,200,68.7,57.8,1
62f3575ab51f8a773cde8ed1,182,56.6,56.0,1
62f3575ab51f8a773cde8ed1,72,18.3,1.5,1
62f3575ab51f8a773cde8ed1,115,44.6,43.0,1
