Hours,Scores
2.0,18
8.2,73
0.8,7
4.4,39
8.4,75
4.7,47
7.1,63
6.7,67
6.8,68
1.1,9
3.8,38
7.7,77
9.1,81
4.3,43
4.5,40
1.2,10
8.2,73
9.3,83
9.4,84
0.6,6
9.4,84
5.0,45
0.9,8
6.8,61
0.8,7
1.2,12
2.2,22
6.7,60
6.0,54
9.0,81
8.4,75
7.6,68
5.9,53
9.8,98
4.9,44
2.0,20
2.3,20
3.5,31
0.8,8
9.9,89
0.9,9
4.9,44
9.4,84
9.1,81
7.6,68
8.7,78
3.2,28
4.4,39
2.8,28
0.8,7
2.9,29
0.6,6
3.8,38
5.3,47
7.8,78
9.6,86
6.4,57
0.4,3
0.7,7
3.8,38
8.0,80
6.1,54
8.7,78
5.9,53
1.5,13
2.4,21
1.6,14
5.7,57
7.5,75
8.1,72
7.2,72
2.7,24
5.5,49
8.6,77
2.8,28
4.3,38
8.6,86
1.2,10
3.7,33
2.1,18
1.2,12
7.9,71
9.3,93
6.0,60
5.6,50
3.1,27
2.5,25
7.1,63
9.6,86
2.9,29
5.8,58
1.5,13
9.3,93
0.6,6
5.9,59
1.9,17
3.5,35
3.7,37
8.5,76
10.0,90
4.4,39
4.2,37
0.0,0
1.5,15
1.6,16
0.3,2
0.3,2
3.1,27
4.3,43
9.9,89
1.0,9
5.6,56
6.4,57
2.8,28
6.8,68
2.4,24
5.3,53
1.5,13
2.6,26
0.7,7
9.8,88
8.2,82
6.1,54
6.0,54
7.2,64
1.0,10
8.5,76
9.0,90
6.2,55
3.9,35
9.4,94
2.3,20
8.2,82
4.0,40
3.1,27
2.3,20
3.9,39
0.4,3
1.5,15
7.4,74
2.1,21
1.9,17
1.8,18
5.9,59
0.5,4
5.7,57
2.9,29
3.8,34
8.9,80
1.0,10
3.3,29
3.9,39
3.1,27
2.5,22
4.3,38
1.6,14
1.7,15
1.7,17
8.8,79
7.3,65
9.1,91
5.4,48
9.3,83
8.3,74
3.8,38
4.1,36
8.7,87
1.3,13
2.6,23
4.7,42
7.5,67
6.0,54
6.2,55
0.9,9
5.5,49
7.1,63
2.6,26
5.0,50
4.4,44
0.9,9
5.8,58
7.4,74
3.2,32
5.8,52
5.6,56
2.6,26
2.3,20
9.0,90
2.5,22
4.4,39
2.9,26
9.5,85
2.5,25
4.6,41
7.2,64
1.1,11
2.8,25
6.9,62
8.3,74
1.2,10
3.5,31
8.6,86
2.2,22
1.7,17
0.1,1
0.3,2
0.5,4
3.3,29
0.2,2
