Hours,Score
0.5,4
1.4,14
9.4,94
0.9,8
8.1,81
4.2,37
9.6,86
8.6,77
1.0,9
7.5,67
2.3,20
0.2,1
2.2,19
1.2,12
0.7,6
1.8,18
8.7,78
9.0,81
7.9,71
9.3,83
2.4,24
6.2,55
2.7,27
10.0,100
8.6,77
6.0,54
0.6,5
2.5,22
1.4,14
7.7,69
6.2,55
8.0,72
9.2,92
1.9,17
5.0,50
3.5,35
5.6,50
0.5,5
8.3,83
7.4,66
4.3,38
4.2,42
0.7,7
4.7,47
7.1,71
6.5,65
2.1,18
8.1,81
3.7,33
4.0,36
1.3,11
3.1,31
5.1,51
6.8,68
9.9,89
0.3,3
5.8,58
4.8,43
1.7,15
5.6,56
5.9,53
4.3,38
4.9,44
0.4,3
6.7,67
9.9,89
9.6,96
8.5,76
7.7,69
1.0,10
7.5,67
4.9,44
8.1,81
4.5,40
2.1,21
2.9,29
4.8,48
2.0,20
4.1,36
3.1,31
1.3,13
5.8,52
4.0,40
0.3,2
5.0,50
5.2,46
5.8,52
6.3,63
1.7,15
2.8,28
2.1,21
9.4,84
8.3,74
5.1,45
9.2,82
5.5,55
8.6,86
4.0,36
3.1,31
2.5,25
